customer_id,age,gender,location,favorite_category,total_spend,average_order_value,avg_review_rating,avg_previous_purchases,avg_annual_frequency,discount_dependency_score,promo_dependency_score,subscription_score,preferred_payment_method,preferred_shipping_type,satisfaction_flag,total_spend_norm,average_order_value_norm,avg_previous_purchases_norm,avg_annual_frequency_norm,avg_review_rating_norm,discount_dependency_score_norm,promo_dependency_score_norm,subscription_score_norm,loyalty_score_1,loyalty_score_2,final_loyalty_score,value_tier,promo_dependency_segment,customer_segment,cluster
1,55,Male,Kentucky,Clothing,53,53.0,3.1,14.0,26.0,1.0,1.0,1.0,Venmo,Express,Neutral,0.4125000000000001,0.4125000000000001,0.26530612244897955,0.49019607843137253,0.2400000000000002,1.0,1.0,1.0,0.3769312725090036,0.33959183673469395,0.36199549819927973,Medium Value,Highly Promo Dependent,Bargain Hunter,2
2,19,Male,Maine,Clothing,64,64.0,3.1,2.0,26.0,1.0,1.0,1.0,Cash,Express,Neutral,0.55,0.55,0.02040816326530612,0.49019607843137253,0.2400000000000002,1.0,1.0,1.0,0.32022208883553416,0.2661224489795919,0.2985822328931573,High Value,Highly Promo Dependent,Occasional Customer,2
3,50,Male,Massachusetts,Clothing,73,73.0,3.1,23.0,52.0,1.0,1.0,1.0,Credit Card,Free Shipping,Neutral,0.6625000000000001,0.6625000000000001,0.44897959183673464,0.9999999999999999,0.2400000000000002,1.0,1.0,1.0,0.6783418367346938,0.3946938775510205,0.5648826530612245,High Value,Highly Promo Dependent,Occasional Customer,2
4,21,Male,Rhode Island,Footwear,90,90.0,3.5,49.0,52.0,1.0,1.0,1.0,PayPal,Next Day Air,Neutral,0.875,0.875,0.9795918367346937,0.9999999999999999,0.40000000000000013,1.0,1.0,1.0,0.9543367346938775,0.5938775510204082,0.8101530612244898,Premium Value,Highly Promo Dependent,Discount Loyalist,2
5,45,Male,Oregon,Clothing,49,49.0,2.7,31.0,1.0,1.0,1.0,1.0,PayPal,Free Shipping,Low Satisfaction,0.36250000000000004,0.36250000000000004,0.6122448979591836,0.0,0.08000000000000007,1.0,1.0,1.0,0.3536479591836734,0.40367346938775506,0.3736581632653061,Medium Value,Highly Promo Dependent,Bargain Hunter,2
6,46,Male,Wyoming,Footwear,20,20.0,2.9,14.0,52.0,1.0,1.0,1.0,Venmo,Standard,Low Satisfaction,0.0,0.0,0.26530612244897955,0.9999999999999999,0.15999999999999992,1.0,1.0,1.0,0.40612244897959177,0.3195918367346938,0.3715102040816326,Low Value,Highly Promo Dependent,Bargain Hunter,2
7,63,Male,Montana,Clothing,85,85.0,3.2,49.0,4.0,1.0,1.0,1.0,Cash,Free Shipping,Neutral,0.8125,0.8125,0.9795918367346937,0.058823529411764705,0.28000000000000025,1.0,1.0,1.0,0.653233793517407,0.5638775510204082,0.6174912965186075,Premium Value,Highly Promo Dependent,Occasional Customer,2
8,27,Male,Louisiana,Clothing,34,34.0,3.2,19.0,52.0,1.0,1.0,1.0,Credit Card,Free Shipping,Neutral,0.17500000000000004,0.17500000000000004,0.36734693877551017,0.9999999999999999,0.28000000000000025,1.0,1.0,1.0,0.499438775510204,0.3802040816326531,0.4517448979591836,Low Value,Highly Promo Dependent,Bargain Hunter,2
9,26,Male,West Virginia,Outerwear,97,97.0,2.6,8.0,1.0,1.0,1.0,1.0,Venmo,Express,Low Satisfaction,0.9625000000000001,0.9625000000000001,0.14285714285714285,0.0,0.040000000000000036,1.0,1.0,1.0,0.34589285714285717,0.2528571428571429,0.30867857142857147,Premium Value,Highly Promo Dependent,At Risk,2
10,57,Male,Missouri,Accessories,31,31.0,4.8,4.0,4.0,1.0,1.0,1.0,Cash,2-Day Shipping,High Satisfaction,0.1375,0.1375,0.061224489795918366,0.058823529411764705,0.9199999999999999,1.0,1.0,1.0,0.08338685474189675,0.4483673469387755,0.22937905162064826,Low Value,Highly Promo Dependent,Bargain Hunter,2
11,53,Male,Arkansas,Footwear,34,34.0,4.1,26.0,26.0,1.0,1.0,1.0,Bank Transfer,Store Pickup,High Satisfaction,0.17500000000000004,0.17500000000000004,0.510204081632653,0.49019607843137253,0.6399999999999999,1.0,1.0,1.0,0.40364045618247296,0.5130612244897959,0.4474087635054021,Low Value,Highly Promo Dependent,Bargain Hunter,2
12,30,Male,Hawaii,Clothing,68,68.0,4.9,10.0,26.0,1.0,1.0,1.0,Bank Transfer,Store Pickup,High Satisfaction,0.6000000000000001,0.6000000000000001,0.18367346938775508,0.49019607843137253,0.9600000000000002,1.0,1.0,1.0,0.4005282112845138,0.4951020408163266,0.43835774309723896,High Value,Highly Promo Dependent,Occasional Customer,2
13,61,Male,Delaware,Outerwear,72,72.0,4.5,37.0,26.0,1.0,1.0,1.0,Venmo,Express,High Satisfaction,0.65,0.65,0.7346938775510203,0.49019607843137253,0.8,1.0,1.0,1.0,0.6359363745498199,0.6204081632653061,0.6297250900360144,High Value,Highly Promo Dependent,Potential Loyalist,2
14,65,Male,New Hampshire,Clothing,51,51.0,4.7,31.0,52.0,1.0,1.0,1.0,PayPal,Express,High Satisfaction,0.38750000000000007,0.38750000000000007,0.6122448979591836,0.9999999999999999,0.8800000000000001,1.0,1.0,1.0,0.6611479591836734,0.603673469387755,0.638158163265306,Medium Value,Highly Promo Dependent,Potential Loyalist,2
