location,customers,avg_spend,avg_discount_dependency,avg_loyalty
Alabama,89,59.1123595505618,0.4044943820224719,0.47368542360764526
Alaska,72,67.59722222222223,0.4027777777777778,0.5025675395158063
Arizona,65,66.55384615384615,0.3384615384615385,0.49345336596176925
Arkansas,79,61.11392405063291,0.46835443037974683,0.46269034921660973
California,95,59.0,0.42105263157894735,0.4515743002464143
Colorado,75,56.29333333333334,0.41333333333333333,0.43403583033213283
Connecticut,78,54.17948717948718,0.3333333333333333,0.42747921476282824
Delaware,86,55.325581395348834,0.45348837209302323,0.4363648365228444
Florida,68,55.85294117647059,0.45588235294117646,0.4446209394205443
Georgia,79,58.79746835443038,0.4050632911392405,0.4611736175482851
Hawaii,65,57.723076923076924,0.49230769230769234,0.49216514105642256
Idaho,93,60.075268817204304,0.40860215053763443,0.43846217827790457
Illinois,92,61.05434782608695,0.40217391304347827,0.4701298266559371
Indiana,79,58.924050632911396,0.569620253164557,0.45249415335754556
Iowa,69,60.88405797101449,0.5217391304347826,0.4742845005649318
Kansas,63,54.55555555555556,0.23809523809523808,0.4425064168524553
Kentucky,79,55.721518987341774,0.43037974683544306,0.462888546327622
Louisiana,84,57.714285714285715,0.4166666666666667,0.4557418678314699
Maine,77,56.98701298701299,0.35064935064935066,0.4345644751407057
Maryland,86,55.75581395348837,0.4418604651162791,0.45538446084316075
Massachusetts,72,60.888888888888886,0.4861111111111111,0.4441854784167188
Michigan,73,62.0958904109589,0.3972602739726027,0.463485127384287
Minnesota,88,56.55681818181818,0.4431818181818182,0.45833076298701303
Mississippi,80,61.0375,0.475,0.4582614458283313
Missouri,81,57.91358024691358,0.49382716049382713,0.46685646663728786
Montana,96,60.25,0.375,0.4587446294307197
Nebraska,87,59.44827586206897,0.42528735632183906,0.4478093858232948
Nevada,87,63.37931034482759,0.47126436781609193,0.4668146846974084
New Hampshire,71,59.42253521126761,0.43661971830985913,0.4472527782541588
New Jersey,67,56.74626865671642,0.40298507462686567,0.4313370392933293
New Mexico,81,61.901234567901234,0.4444444444444444,0.4633969217316556
New York,87,60.42528735632184,0.41379310344827586,0.45727690134877474
North Carolina,78,60.794871794871796,0.44871794871794873,0.4626035568073383
North Dakota,83,62.89156626506024,0.4578313253012048,0.4382436718589875
Ohio,77,60.37662337662338,0.44155844155844154,0.4550986091805143
Oklahoma,75,58.346666666666664,0.48,0.43697034083903835
Oregon,74,57.33783783783784,0.5135135135135135,0.4466509069381177
Pennsylvania,74,66.56756756756756,0.44594594594594594,0.4892217887154862
Rhode Island,63,61.44444444444444,0.3968253968253968,0.4575910428687604
South Carolina,76,58.4078947368421,0.5,0.44166688275310123
South Dakota,70,60.51428571428571,0.37142857142857144,0.44842052821128453
Tennessee,77,61.97402597402598,0.36363636363636365,0.473929623797571
Texas,77,61.1948051948052,0.36363636363636365,0.4377981534719151
Utah,71,62.57746478873239,0.4647887323943662,0.46239557537300635
Vermont,85,57.1764705882353,0.38823529411764707,0.43612073043503113
Virginia,77,62.883116883116884,0.37662337662337664,0.4586369547819128
Washington,73,63.32876712328767,0.4383561643835616,0.45468994310052785
West Virginia,81,63.876543209876544,0.49382716049382713,0.44780227407418666
Wisconsin,75,55.946666666666665,0.48,0.4175411000016445
Wyoming,71,60.690140845070424,0.4225352112676056,0.48152518894881896
