preferred_payment_method,preferred_shipping_type,customer_count,avg_spend,avg_loyalty_score,avg_discount_dependency,subscription_penetration_pct
Cash,"2-Day Shipping",100,59.65,0.483,0.31,21.0
"Credit Card",Standard,115,56.88,0.479,0.374,26.1
"Debit Card",Express,97,59.38,0.474,0.34,27.8
"Bank Transfer",Standard,92,60.67,0.473,0.38,23.9
Cash,"Free Shipping",120,60.26,0.473,0.392,23.3
PayPal,Standard,106,58.37,0.47,0.425,23.6
Venmo,Express,102,59.79,0.464,0.441,30.4
"Credit Card","2-Day Shipping",119,59.66,0.464,0.412,25.2
PayPal,"2-Day Shipping",109,58.82,0.464,0.431,29.4
"Credit Card",Express,113,60.50,0.463,0.451,30.1
PayPal,Express,128,59.77,0.462,0.391,27.3
"Debit Card","2-Day Shipping",92,61.71,0.461,0.446,25.0
"Debit Card","Next Day Air",104,59.55,0.461,0.471,24.0
PayPal,"Free Shipping",121,59.50,0.461,0.397,28.1
"Debit Card","Store Pickup",104,62.63,0.46,0.558,43.3
"Debit Card",Standard,118,60.64,0.459,0.492,33.1
Venmo,"2-Day Shipping",103,61.93,0.458,0.398,21.4
"Bank Transfer",Express,90,60.10,0.457,0.4,27.8
"Credit Card","Next Day Air",108,61.43,0.456,0.463,24.1
Venmo,"Store Pickup",106,56.79,0.456,0.358,19.8
"Credit Card","Store Pickup",102,61.12,0.455,0.402,27.5
Cash,"Store Pickup",119,60.29,0.455,0.445,29.4
Venmo,"Free Shipping",106,59.54,0.454,0.5,33.0
Cash,Express,106,62.49,0.453,0.509,32.1
"Credit Card","Free Shipping",105,60.07,0.452,0.352,22.9
Venmo,Standard,102,56.68,0.449,0.49,31.4
"Bank Transfer","2-Day Shipping",97,62.20,0.447,0.402,20.6
"Bank Transfer","Next Day Air",116,56.91,0.442,0.483,30.2
"Debit Card","Free Shipping",115,61.20,0.44,0.383,24.3
PayPal,"Store Pickup",103,61.11,0.44,0.427,28.2
Cash,"Next Day Air",104,58.24,0.439,0.423,26.9
Cash,Standard,117,57.46,0.439,0.427,21.4
"Bank Transfer","Free Shipping",100,61.78,0.438,0.41,25.0
PayPal,"Next Day Air",106,57.62,0.435,0.396,20.8
Venmo,"Next Day Air",107,58.07,0.432,0.477,28.0
"Bank Transfer","Store Pickup",111,57.73,0.427,0.414,25.2
