customer_id,customer_segment,preferred_shipping_type,avg_annual_frequency,discount_dependency_score,total_spend,query_trigger
922,"Bargain Hunter",Express,52,1,24,1
251,"Bargain Hunter",Express,52,1,25,1
1101,"Bargain Hunter",Express,52,1,28,1
672,"Potential Loyalist",Express,52,1,30,1
778,"Bargain Hunter",Express,52,1,32,1
371,"Bargain Hunter",Express,52,1,34,1
1369,"Bargain Hunter",Express,52,1,36,1
61,"Bargain Hunter",Express,52,1,37,1
1363,"Potential Loyalist",Express,52,1,46,1
555,"Bargain Hunter",Express,52,1,47,1
707,"Potential Loyalist",Express,52,1,47,1
988,"Bargain Hunter",Express,52,1,47,1
1242,"Bargain Hunter",Express,52,1,51,1
14,"Potential Loyalist",Express,52,1,51,1
1302,"Potential Loyalist",Express,52,1,54,1
910,"Bargain Hunter",Express,52,1,56,1
495,"Discount Loyalist",Express,52,1,68,1
70,"Occasional Customer",Express,52,1,70,1
200,"Occasional Customer",Express,52,1,73,1
1039,"Occasional Customer",Express,52,1,74,1
