favorite_category,value_tier,segment_customer_count,avg_spend,avg_subscription_score,avg_rating,subscribed_pct
Accessories,"Premium Value",284,91.05,0.264,3.74,26.4
Accessories,"High Value",320,71.00,0.241,3.85,24.1
Accessories,"Medium Value",315,49.83,0.283,3.67,28.3
Accessories,"Low Value",310,29.70,0.277,3.82,27.7
Clothing,"Premium Value",415,90.98,0.258,3.78,25.8
Clothing,"High Value",441,70.94,0.263,3.71,26.3
Clothing,"Medium Value",416,49.97,0.264,3.69,26.4
Clothing,"Low Value",446,29.46,0.256,3.71,25.6
Footwear,"Premium Value",146,91.14,0.26,3.83,26.0
Footwear,"High Value",146,70.86,0.308,3.84,30.8
Footwear,"Medium Value",152,50.50,0.296,3.68,29.6
Footwear,"Low Value",150,29.66,0.273,3.82,27.3
Outerwear,"Premium Value",71,91.54,0.31,3.83,31.0
Outerwear,"High Value",68,72.24,0.338,3.89,33.8
Outerwear,"Medium Value",80,49.91,0.188,3.59,18.8
Outerwear,"Low Value",103,29.12,0.291,3.72,29.1
